body,name
101,Centaur
101,Huntsman
101,Sagittarri
101,Twaulo
101,Centaur
101,Twaulo
103,Serpentine Dragon
103,Fierce Dragon
103,Serpentine Dragon
103,Serpentine Dragon
104,Skeletal Dragon
104,Skeletal Dragon
104,Skeletal Dragon Renowned
104,Skeletal Drake
104,Skeletal Dragon
106,Shadow Wyrm
106,Shadow Wyrm
106,Shadow Wyrm
107,Agapite Elemental
107,Agapite Elemental
107,Agapite Elemental
108,Bronze Elemental
108,Bronze Elemental
108,Bronze Elemental
109,Copper Elemental
109,Copper Elemental
109,Copper Elemental
110,Dull Copper Elemental
110,Dull Copper Elemental
110,Dull Copper Elemental
111,Shadow Iron Elemental
111,Shadow Iron Elemental
111,Shadow Iron Elemental
112,Valorite Elemental
112,Valorite Elemental
112,Valorite Elemental
113,Verite Elemental
113,Verite Elemental
113,Verite Elemental
116,Nightmare
116,Dread Warhorse
116,Nightmare
116,Nightmare
122,Despise Unicorn
123,Crystal Lattice Seeker
123,Ethereal Warrior
123,Crystal Lattice Seeker
123,Divine Guardian
123,Ethereal Warrior
123,Crystal Lattice Seeker
123,Ethereal Warrior
124,Evil Mage
124,Evil Mage
124,Evil Mage
127,Predator Hell Cat
127,Predator Hell Cat
127,Predator Hell Cat
128,Pixie
128,Arielle
128,Pixie
128,Pixie Renowned
128,S A Pixie
128,Pixie
129,Harrower Tentacles
129,Harrower Tentacles
129,Harrower Tentacles
130,Fire Gargoyle
130,Fire Gargoyle
130,Fire Gargoyle
131,Efreet
131,Efreet
131,Efreet
135,Arctic Ogre Lord
135,Arctic Ogre Lord
135,Arctic Ogre Lord
136,Naba
138,Orcish Lord
138,Orcish Lord
138,Orcish Lord
140,Orcish Mage
140,Orcish Mage
140,Orcish Mage
142,Ratman Archer
142,Clan C A
142,Clan C T
142,Clan S S
142,Rakktavi Renowned
142,Ratman Archer
142,Ratman Archer
143,Ratman Mage
143,Ratman Mage
143,Vitavi Renowned
143,Ratman Mage
146,Harrower
146,Harrower
146,Spawn Entry
147,Skeletal Knight
147,Drelgor
147,Skeletal Knight
147,Skeletrex
147,Skeletal Knight
148,Bone Magi
148,Skeletal Mage
148,Bone Magi
148,Maabus
148,Skeletal Mage
148,Bone Magi
148,Skeletal Mage
149,Succubus
149,Succubus
149,Succubus
150,sea serpent
150,Deep Sea Serpent
150,Sea Serpent
150,Deep Sea Serpent
150,Sea Serpent
150,Deep Sea Serpent
150,Sea Serpent
151,dolphin
151,Dolphin
151,Dolphin
151,Dolphin
152,Terathan Avenger
152,Anlorvaglem
152,Terathan Avenger
152,Terathan Avenger
153,Bogle
153,Ghoul
153,Bogle
153,Ghoul
153,Bogle
153,Ghoul
154,Mummy
154,Pestilent Bandage
154,Mummy
154,Pestilent Bandage
154,Mummy
154,Pestilent Bandage
155,Rotting Corpse
155,Unfrozen Mummy
155,Rotting Corpse
155,Unfrozen Mummy
155,Rotting Corpse
155,Unfrozen Mummy
157,Giant Black Widow
157,Giant Black Widow
157,Sentinel Spider
157,Giant Black Widow
158,Acid Elemental
158,Acid Elemental
158,Acid Elemental Renowned
158,Toxic Elemental
158,Acid Elemental
159,Blood Elemental
159,Blood Elemental
159,Blood Elemental
161,Ice Elemental
161,Ice Elemental
161,Ice Elemental
162,Poison Elemental
162,Greater Poison Elemental
162,Poison Elemental
162,Poison Elemental
163,Snow Elemental
163,Snow Elemental
163,Snow Elemental
164,Energy Vortex
164,Energy Vortex
164,Energy Vortex
165,Dark Wisp
165,Shadow Wisp
165,Shadow Wisp Familiar
165,Corrupted Wisp
165,Dark Wisp
165,Ensorcled Wisp
165,Shadow Wisp
165,Shadow Wisp Familiar
165,Dark Wisp
165,Shadow Wisp
165,Shadow Wisp Familiar
166,Golden Elemental
166,Golden Elemental
166,Golden Elemental
167,Brown Bear
167,Brown Bear
167,Brown Bear
168,Shadow Fiend
168,Shadow Fiend
172,Rikktor
172,Rikktor
172,Rikktor
173,Mephitis
173,Mephitis
173,Mephitis
174,Semidar
174,Semidar
174,Semidar
175,Lord Oaks
175,Lord Oaks
175,Lord Oaks
176,Silvani
176,Silvani
176,Silvani
177,Nightmare
178,Nightmare
178,Nightmare
178,Nightmare
179,Nightmare
179,Nightmare
179,Nightmare
181,Orc Scout
182,Orc Bomber
182,Orc Bomber
182,Orc Bomber
183,Savage
183,Savage Shaman
183,Savage
183,Savage
183,Savage Shaman
184,Savage
184,Savage Shaman
184,Savage
184,Savage
184,Savage Shaman
185,Savage Rider
185,Savage Rider
185,Savage Rider
186,Savage Rider
186,Savage Shaman
186,Savage Rider
189,Orc Brute
189,Orc Brute
189,Orc Brute
196,Kaze Kemono
196,Kaze Kemono
196,Kaze Kemono
197,Order Variant
197,Crimson Dragon
198,Chaos Variant
199,Rai Ju
199,Rai Ju
199,Rai Ju
200,horse
201,cat
201,Cat
201,Hell Cat
201,Cat
201,Diseased Cat
201,Hell Cat
201,Cat
201,Hell Cat
202,alligator
202,Alligator
202,Alligator
202,Alligator
203,pig
203,Pig
203,Pig
203,Pig
204,horse
204,Darkmane
205,rabbit
205,Enraged Rabbit
205,Jack Rabbit
205,Rabbit
205,Vorpal Bunny
205,Enraged Rabbit
205,Jack Rabbit
205,Rabbit
205,Vorpal Bunny
205,Enraged Rabbit
205,Jack Rabbit
205,Rabbit
205,Vorpal Bunny
206,Lava Lizard
206,Lava Lizard
206,Thrasher
206,Lava Lizard
207,sheep
207,Sheep
207,Sheep
207,Sheep
208,chicken
208,Chicken
208,Chicken
208,Chicken
209,goat
209,Goat
209,Goat
209,Goat
211,black bear
211,Black Bear
211,Enraged Black Bear
211,Black Bear
211,Enraged Black Bear
211,Black Bear
211,Enraged Black Bear
212,grizzly bear
212,Grizzly Bear
212,Raging Grizzly Bear
212,Grizzly Bear
212,Maul Bear
212,Raging Grizzly Bear
212,Ursadane
212,Grizzly Bear
212,Raging Grizzly Bear
213,polar bear
213,Polar Bear
213,Polar Bear
213,Polar Bear
214,cougar
214,Panther
214,Panther
214,Panther
215,giant rat
215,Giant Rat
215,Giant Rat
215,Plague Rat
215,Giant Rat
216,cow
217,dog
217,Dog
217,Dog
217,Dog
220,llama
220,Energy Vortex
220,Llama
220,Energy Vortex
220,Llama
220,Energy Vortex
220,Llama
221,walrus
221,Walrus
221,Walrus
221,Walrus
225,dire wolf
225,Timber Wolf
225,Injured Wolf
225,Timber Wolf
225,Timber Wolf
226,horse
228,horse
231,cow
232,bull
233,bull
234,big stag
234,Enraged Hart
234,Great Hart
234,Bravehorn
234,Enraged Hart
234,Great Hart
234,Enraged Hart
234,Great Hart
237,doe
237,Enraged Hind
237,Hind
237,Enraged Hind
237,Hind
237,Enraged Hind
237,Hind
238,town rat
238,Rat
238,Sewer Rat
238,Clan Ribbon Plague Rat
238,Rat
238,Sewerrat
238,Rat
238,Sewerrat
240,Kappa
240,Kappa
240,Kappa
241,Oni
241,Oni
241,Oni
242,Deathwatch Beetle
242,Deathwatch Beetle Hatchling
242,Deathwatch Beetle
242,Deathwatch Beetle Hatchling
242,Deathwatch Beetle
242,Deathwatch Beetle Hatchling
244,Rune Beetle
244,Rune Beetle
244,Rune Beetle
245,Yomotsu Warrior
245,Yomotsu Warrior
245,Yomotsu Warrior
246,Bake Kitsune
246,Bake Kitsune
246,Bake Kitsune
247,Fan Dancer
247,Chiyo
247,Fan Dancer
247,Fan Dancer
248,Gaman
248,Gaman
248,Gaman
249,Serado
249,Yamandon
249,Serado
249,Yamandon
249,Serado
249,Yamandon
250,Tsuki Wolf
250,Echidnite
250,Tsuki Wolf
250,Tsuki Wolf
251,Revenant Lion
251,Revenant Lion
251,Revenant Lion
252,Lady Of The Snow
252,Lady Of The Snow
252,Phantom
252,Wight
252,Lady Of The Snow
253,Yomotsu Priest
253,Yomotsu Priest
253,Yomotsu Priest
254,Crane
254,Crane
254,Crane
255,Yomotsu Elder
255,Yomotsu Elder
255,Yomotsu Elder
256,Chief Paroxysmus
256,Chief Paroxysmus
257,Dread Horn
257,Dread Horn
258,Lady M
258,Lady Melisande
259,Monstrous Interred Grizzle
259,Ilhenir
259,Interred Grizzle
259,Ilhenir
259,Interred Grizzle
259,Monstrous Interred Grizzle
259,Ilhenir
259,Interred Grizzle
260,Travesty
260,Corporeal Brume
260,Corporeal Brume
260,Corporeal Brume
261,Shimmering Effusion
261,Shimmering Effusion
262,Tormented Minotaur
262,Tormented Minotaur
262,Tormented Minotaur
262,Tormented Minotaur
263,Minotaur
263,Meraktus
263,Minotaur
263,Meraktus
263,Minotaur
263,Meraktus
263,Minotaur
264,Changeling
264,Changeling
264,Changeling
264,Fairy
264,Renegade Changeling
264,Travesty
264,Changeling
265,Hydra
265,Hydra
265,Abscess
265,Crystal Hydra
265,Hydra
265,Hydra
266,Dryad
266,M L Dryad
266,Forest Nymph
266,Frightened Dryad
266,M L Dryad
266,M L Dryad
267,Troglodyte
267,Troglodyte
267,Troglodyte
267,Troglodyte
269,Thorn bat
270,Bulbous Putrification
270,Grubber
271,Satyr
271,Satyr
271,Satyr
271,Silenii
271,Satyr
272,Interred Grizzle
273,Fetid Essence
273,Fetid Essence
273,Mantra Effervescence
273,Fetid Essence
273,Mantra Effervescence
273,Fetid Essence
273,Mantra Effervescence
276,Chimera
277,Cu Sidhe
278,Squirrel
278,Squirrel
278,Squirrel
278,Squirrel
279,Ferret
279,Ferret
279,Ferret
279,Ferret
280,Plate Armored Minotaur
280,Minotaur Captain
280,Minotaur Captain
280,Minotaur General
280,Minotaur Captain
281,Leather Armored Minotaur
281,Minotaur Scout
281,Minotaur Scout
281,Minotaur Scout
282,Parrot
283,Crow
284,Mondains Steed
285,Reaper Redux
286,RotWorm_Juvenile
287,BloodWorm
287,Blood Worm
290,big pig
290,Boar
290,Boar
290,Boar
291,pack horse
291,Pack Horse
291,Pack Horse
291,Pack Horse
292,pack llama
292,Pack Llama
292,Pack Llama
292,Pack Llama
293,Gargoyle_Pet
293,Vollem
300,Crystal Elemental
300,Crystal Elemental
300,Crystal Elemental
301,Feral Treefellow
301,Treefellow
301,Dendrite
301,Feral Treefellow
301,Strongroot
301,Treefellow
301,Treefellow Guardian
301,Ferel Treefellow
301,Treefellow
302,Skittering Hopper
302,Skittering Hopper
302,Skittering Hopper
303,Devourer
303,Devourer
303,Devourer Renowned
303,Lifestealer
303,Devourer
304,Flesh Golem
304,Ballem
304,Flesh Golem
304,Flesh Golem
305,Gore Fiend
305,Gore Fiend
305,Prometheoid
305,Gore Fiend
306,Impaler
306,Impaler
306,The Butcher
306,Impaler
307,Gibberling
307,Gibberling
307,Gibberling
308,Bone Demon
308,Bone Demon
308,Bone Demon
309,Patchwork Skeleton
309,Patchwork Skeleton
309,Skeletal Lich
309,Patchwork Skeleton
310,Wailing Banshee
310,Stone Monster
310,Wailing Banshee
310,Wailing Banshee
311,Shadow Knight
311,Shadow Knight
311,Shadow Knight
312,Abysmal Horror
312,Abysmal Horror
312,Abyssal Abomination
312,Abysmal Horror
313,Darknight Creeper
313,Darknight Creeper
313,Darknight Creeper
314,Ravager
314,Ravager
314,Ravager
315,Flesh Renderer
315,Flesh Renderer
315,Flesh Renderer
316,Wanderer Of The Void
316,Wanderer Of The Void
316,Wanderer Of The Void
317,Vampire Bat
317,Vampire Bat Familiar
317,Vampire Bat
317,Vampire Bat Familiar
317,Vampire Bat
317,Vampire Bat Familiar
318,Demon Knight
318,Demon Knight
318,Usagralem Ballem
318,Demon Knight
319,Mound Of Maggots
319,Mound Of Maggots
319,Mound Of Maggots
320,FishingPole_Gargoyle
321,Lantern_Off_Gargoyle
322,Lantern_On_Gargoyle
323,Pickaxe_Gargoyle
324,Shepards_Crook_Gargoyle
325,Smithyhammer_Gargoyle
326,Spellbook_BookOfArms_Gargoyle
327,Spellbook_Bushido_Gargoyle
328,Spellbook_Chivalry_Gargoyle
329,Spellbook_Gargoyle
330,Spellbook_Necromancy_Gargoyle
331,Spellbook_Ninjutsu_Gargoyle
332,Spellbook_SpellWeaving_Gargoyle
333,Weapon_Wand_Gargoyle_Legacy
334,Grey Goblin
334,Barreraak
334,Enslaved Goblin Keeper
334,Enslaved Goblin Mage
334,Enslaved Goblin Scout
334,Enslaved Gray Goblin
334,Enslaved Green Goblin
335,Weapon_Shield_Leather_Medium_Gargoyle_Legacy
336,Weapon_Shield_Leather_Small_Gargoyle_Legacy
337,Weapon_Shield_Plate_Large_Gargoyle_Legacy
338,Weapon_Shield_Plate_Medium_Gargoyle_Legacy
339,Weapon_Shield_Plate_Small_Gargoyle_Legacy
340,Weapon_Shield_Scale_Large_Gargoyle_Legacy
341,Gargoyle Robe_Fancy
342,Gargoyle Robe_Regular
343,Weapon_Shield_Scale_Chaos_Gargoyle
344,Weapon_Shield_Scale_Order_Gargoyle
400,human male
400,GArg F to H M
400,Garg M to Human M
400,Human F to M
400,Actor
400,Archer Guard
400,Artist
400,Barracoon
400,Base Escortable
400,Base Shield Guard
400,Base Vendor
400,Brigand
400,Chaos Dragoon
400,Chaos Dragoon Elite
400,Cursed
400,Evil Mage
400,Evil Mage Lord
400,Executioner
400,Golem Controller
400,Guardian
400,Gypsy
400,Harbor Master
400,Hire Bard
400,Hire Bard Archer
400,Hire Beggar
400,Hire Fighter
400,Hire Mage
400,Hire Paladin
400,Hire Peasant
400,Hire Ranger
400,Hire Ranger Archer
400,Hire Sailor
400,Hire Thief
400,Khaldun Summoner
400,Khaldun Zealot
400,Ninja
400,Player Barkeeper
400,Player Vendor
400,Revenant
400,Samurai
400,Sculptor
400,Town Crier
400,Warrior Guard
400,Actor
400,Adrian The Glorious Lord
400,Andros The Dread Lord
400,Archer Guard
400,Artist
400,Barracoon
400,Base Escortable
400,Base Shield Guard
400,Blackheart
400,Brigand
400,Chaos Dragoon
400,Chaos Dragoon Elite
400,Chyloth
400,Claim Rewards Entry
400,Cursed
400,Dugan
400,Dummy
400,Elwood Mc Carrin
400,Emino
400,Enshrouded Figure
400,Executioner
400,Forgotten Servant
400,Gabriel Piete
400,Garamon
400,Golem Controller
400,Grimmoch Drummel
400,Guardian
400,Gypsy
400,Haochi
400,Haochis Guardsman
400,Harbor Master
400,Henchman
400,Hidden Figure
400,Hire Bard
400,Hire Bard Archer
400,Hire Beggar
400,Hire Fighter
400,Hire Mage
400,Hire Paladin
400,Hire Peasant
400,Hire Ranger
400,Hire Ranger Archer
400,Hire Sailor
400,Hire Thief
400,Horus
400,Human Brigand
400,Impresario
400,Khaldun Summoner
400,Khaldun Zealot
400,Lysander Gathenwale
400,Mannequin
400,Mansion Guard
400,Mardoth
400,Militia Canoneer
400,Militia Fighter
400,Morg Bergen
400,Naturalist
400,Ninja
400,Paladin
400,Player Barkeeper
400,Player Vendor
400,Revenant
400,Samurai
400,Schmendrick
400,Sculptor
400,Summoned Paladin
400,Tomas O Neerlan
400,Town Crier
400,Uzeraan
400,Warrior Guard
400,Young Ninja
400,Young Ronin
400,Zoel
400,Actor
400,Archer Guard
400,Artist
400,Barracoon
400,Base Escortable
400,Base Shield Guard
400,Brigand
400,Bulk Order Info Entry
400,Chaos Dragoon
400,Chaos Dragoon Elite
400,Cursed
400,Dummy
400,Executioner
400,Golem Controller
400,Guardian
400,Gypsy
400,Harbor Master
400,Khaldun Summoner
400,Khaldun Zealot
400,Ninja
400,Player Barkeeper
400,Player Vendor
400,Revenant
400,Samurai
400,Sculptor
400,Town Crier
400,Warrior Guard
401,human female
401,battle surcoat
401,cloth ninja hood
401,cloth ninja jacket
401,Dragon Gauntlets M to F
401,Dragon Helm M to F
401,Dragon Legs M to F
401,Dragon Pauldrons M to F
401,Dragon Torso M to F
401,elven plate
401,female chain substitution
401,Garg F to Human F
401,GArg M to H F
401,hakama
401,hakama-shita
401,Helm of swiftness M to F
401,Human M to F
401,kamishimo
401,leather mogami-do
401,leather ninja belt
401,leather ninja hood
401,leather ninja jacket
401,leather ninja pants
401,obi
401,platemail mogami-do
401,studded mogami-do
401,tattsuke-hakama
401,Actor
401,Archer Guard
401,Artist
401,Base Escortable
401,Base Shield Guard
401,Base Vendor
401,Brigand
401,Executioner
401,Guardian
401,Gypsy
401,Harbor Master
401,Hire Bard
401,Hire Bard Archer
401,Hire Beggar
401,Hire Fighter
401,Hire Mage
401,Hire Paladin
401,Hire Peasant
401,Hire Ranger
401,Hire Ranger Archer
401,Hire Sailor
401,Hire Thief
401,Neira
401,Ninja
401,Player Barkeeper
401,Player Vendor
401,Protector
401,Samurai
401,Sculptor
401,Town Crier
401,Warrior Guard
401,Actor
401,Alberta Giacco
401,Aminia
401,Ansella Gryen
401,Archer Guard
401,Artist
401,Base Escortable
401,Base Shield Guard
401,Brigand
401,Claim Rewards Entry
401,Dryad
401,Executioner
401,Forgotten Servant
401,Grizelda
401,Guardian
401,Gypsy
401,Harbor Master
401,Hidden Figure
401,Hire Bard
401,Hire Bard Archer
401,Hire Beggar
401,Hire Fighter
401,Hire Mage
401,Hire Paladin
401,Hire Peasant
401,Hire Ranger
401,Hire Ranger Archer
401,Hire Sailor
401,Hire Thief
401,Human Brigand
401,Jedah Entille
401,Neira
401,Ninja
401,Player Barkeeper
401,Player Vendor
401,Protector
401,Relnia
401,Ronin
401,Samurai
401,Sculptor
401,Tavara Sewel
401,Town Crier
401,Victoria
401,Warrior Guard
401,Actor
401,Archer Guard
401,Artist
401,Base Escortable
401,Base Shield Guard
401,Brigand
401,Bulk Order Info Entry
401,Executioner
401,Guardian
401,Gypsy
401,Harbor Master
401,Neira
401,Ninja
401,Player Barkeeper
401,Player Vendor
401,Protector
401,Ronin
401,Samurai
401,Sculptor
401,Town Crier
401,Warrior Guard
407,Tall Straw Hat
427,Human Mysticism Spellbook
428,Gargoyle Mysticism Spellbook
433,Halloween Mask (Paperdoll Only)
436,Gargoyle Bracelet - NO ANIMATION - PLACEHOLDER FOR PAPERDOLL
437,Gargoyle Earrings - NO ANIMATION - PLACEHOLDER FOR PAPERDOLL
438,Gargoyle Ring - NO ANIMATION - PLACEHOLDER FOR PAPERDOLL
439,Gargoyle Necklace - NO ANIMATION - PLACEHOLDER FOR PAPERDOLL
475,Female gargoyle horns
483,Horns_Gargoyle_Male_Legacy
485,Horns_Gargoyle_Male_Legacy
499,Horns_Gargoyle_Male_Legacy
509,Horns_Gargoyle_Male
510,Generic necklace both HUamns and Gargs - NO ANIMATION - PLACEHOLDER FOR PAPERDOLL
534,Horns_Gargoyle_Female_Legacy
541,Horns_Gargoyle_Female_Legacy
547,Clothing_Robe_Deathshroud_Gargoyle_Legacy
574,blade spirit
574,Blade Spirits
574,Birling Blades
574,Blade Spirits
574,Blade Spirits
585,Leather_Arms_Female
586,Leather_Arms_Male
587,Leather_Chest_Female
588,Leather_Chest_Male
589,Leather_Legs_Female
590,Leather_Legs_Male
591,Plate_Arms_Female
592,Plate_Arms_Male
593,Plate_Chest_Female
594,Plate_Chest_Male
595,Plate_Kilt_Female
596,Plate_Kilt_Male
597,Plate_Legs_Female
598,Plate_Legs_Male
599,Stone_Arms_Female
600,Armor_Stone_Arms_Male
601,Armor_Stone_Chest_Female
602,Armor_Stone_Chest_Male
603,Armor_Stone_Kilt_Female
604,Armor_Stone_Kilt_Male
605,Elf F to M
605,elven shirt 1
605,elven shirt 2
605,GArg F to Elf M
605,Garg M to Elf M
605,hide chest
605,light armor
605,plate chest
605,Elf Brigand
605,Elf Brigand
605,Elf Brigand
606,battle surcoat
606,cloth ninja jacket
606,Dragon Gauntlets M to F
606,Dragon Helm M to F
606,Dragon Legs M to F
606,Dragon Pauldrons M to F
606,Dragon Torso M to F
606,Elf M to F
606,elven shirt 1
606,elven shirt 2
606,female chain substitution
606,Garg F to Elf F
606,GArg M to Elf F
606,hakama
606,hakama-shita
606,Helm of Swiftness M to F
606,hide chest
606,kamishimo
606,leather mogami-do
606,leather ninja belt
606,leather ninja jacket
606,leather ninja pants
606,light armor
606,obi
606,plate chest
606,platemail mogami-do
606,studded mogami-do
606,tattsuke-hakama
606,Elf Brigand
606,Elf Brigand
606,Elf Brigand
609,Armor_Stone_Legs_Female
610,Armor_Stone_Legs_Male
632,Female gargoyle horns
637,Spectral Armour
637,Spectral Armour
637,Spectral Armour
647,Horns_Facial_Male
650,Horns_Facial_Male
652,Horns_Facial_Male
654,Clothing_Arms_Female
655,Clothing_Arms_Male
656,Clothing_Chest_Female
657,Clothing_Chest_Male
658,Clothing_Kilt_Female
659,Clothing_Kilt_Male
660,Clothing_Legs_Female
661,Clothing_Legs_Male
662,Axe_Dual_Short
663,Leather_Kilt_Female
664,Leather_Kilt_Male
665,Horns_Facial_Male
666,Gargoyle Male
666,Convert to Male
666,Garg F to M
666,Human F to GArg M
666,Human M to GArg M
666,Male Garge
666,Axem
666,Claim Rewards Entry
666,Egwexem
666,Gargish Noble
666,Gargish Outcast
666,Gargish Refugee
666,Gargish Rouser
666,Gargish Wandering Healer
666,Gargish Warrior
666,Naxatilor
666,Sliem
667,Gargoyle Female
667,Convert to Female
667,Female Garge
667,Garg M to F
667,Human F to GArg F
667,Human M to GArg F
667,Claim Rewards Entry
667,Gargish Noble
667,Gargish Outcast
